01:44:40 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  31 | loss 1.0279 | train 0.5460 | val 0.4548 | 1.1s
01:44:41 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  32 | loss 1.0206 | train 0.5460 | val 0.4664 | 1.1s
01:44:42 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  33 | loss 1.0162 | train 0.5600 | val 0.4572 | 1.1s
01:44:43 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  34 | loss 1.0066 | train 0.5560 | val 0.4552 | 1.1s
01:44:44 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  35 | loss 1.0073 | train 0.5460 | val 0.4612 | 1.1s
01:44:45 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  36 | loss 0.9956 | train 0.5540 | val 0.4592 | 1.1s
01:44:46 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  37 | loss 0.9971 | train 0.5520 | val 0.4604 | 1.0s
01:44:48 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  38 | loss 0.9953 | train 0.5600 | val 0.4604 | 1.1s
01:44:49 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  39 | loss 0.9972 | train 0.5520 | val 0.4592 | 1.1s
01:44:50 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  40 | loss 0.9973 | train 0.5600 | val 0.4604 | 1.1s
01:44:51 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  41 | loss 0.9854 | train 0.5580 | val 0.4588 | 1.1s
01:44:52 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  42 | loss 0.9812 | train 0.5560 | val 0.4652 | 1.1s
01:44:53 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  43 | loss 0.9862 | train 0.5540 | val 0.4656 | 1.1s
01:44:54 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  44 | loss 0.9835 | train 0.5560 | val 0.4628 | 1.1s
01:44:55 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  45 | loss 0.9802 | train 0.5640 | val 0.4588 | 1.1s
01:44:57 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  46 | loss 0.9784 | train 0.5660 | val 0.4656 | 1.1s
01:44:58 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  47 | loss 0.9779 | train 0.5620 | val 0.4692 | 1.1s
01:44:59 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  48 | loss 0.9755 | train 0.5660 | val 0.4680 | 1.1s
01:45:00 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  49 | loss 0.9767 | train 0.5580 | val 0.4656 | 1.1s
