run_id,stage,task,model,circuit,graph,n_train,model_seed,shuffle_seed,n_params,best_val_acc,test_acc_a,test_acc_b,test_acc_c,test_acc_d,addition_train_accuracy,addition_test_accuracy,unseen_pair_accuracy,wall_seconds_total,max_steps,steps,alpha,w_scale,signed,standardize,epochs_run,optimizer_steps,batch_size
s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d,2,count,M1,core,shuffled,20000,1,1,1249509,0.6668,0.661,0.4044,0.429,0.3652,,,,1717.5,0,8,0.2,1.0,False,False,60,,64
s2_count_M1_core_shuffled_N20000_m2_sh2_971d2f71d8,2,count,M1,core,shuffled,20000,2,2,1249509,0.6632,0.665,0.4062,0.4074,0.3714,,,,1716.5,0,8,0.2,1.0,False,False,60,,64
s2_count_M1_core_shuffled_N5000_m0_sh0_288aaa6fd5,2,count,M1,core,shuffled,5000,0,0,1249509,0.5216,0.5148,0.2092,0.2452,0.176,,,,394.8,0,8,0.2,1.0,False,False,50,,64
s2_count_M1_core_shuffled_N5000_m1_sh1_3477931500,2,count,M1,core,shuffled,5000,1,1,1249509,0.5136,0.5084,0.2,0.1636,0.1588,,,,226.6,0,8,0.2,1.0,False,False,27,,64
s2_count_M1_core_shuffled_N5000_m2_sh2_ec99b0c174,2,count,M1,core,shuffled,5000,2,2,1249509,0.5188,0.5134,0.1948,0.1704,0.1584,,,,359.6,0,8,0.2,1.0,False,False,42,,64
s2_count_M1_core_shuffled_N500_m0_sh0_155a89c924,2,count,M1,core,shuffled,500,0,0,1249509,0.4884,0.4766,0.1714,0.2,0.18,,,,69.6,0,8,0.2,1.0,False,False,45,,64
s2_count_M1_core_shuffled_N500_m1_sh1_1e4cbe0e8e,2,count,M1,core,shuffled,500,1,1,1249509,0.4836,0.4784,0.1706,0.2,0.1698,,,,52.0,0,8,0.2,1.0,False,False,38,,64
s2_count_M1_core_shuffled_N500_m2_sh2_ce2b02264d,2,count,M1,core,shuffled,500,2,2,1249509,0.4848,0.484,0.1764,0.2,0.1742,,,,60.0,0,8,0.2,1.0,False,False,42,,64
s4_add_M1_core_real_N8400_m0_sh0_e960e06409,4,add,M1,core,real,8400,0,0,1267911,,,,,,0.39404761904761904,0.011666666666666667,0.011666666666666667,775.0,0,8,0.1,1.0,False,False,42,,64
s4_add_M1_core_real_N8400_m1_sh0_579d1a90ef,4,add,M1,core,real,8400,1,0,1267911,,,,,,0.30988095238095237,0.0,0.0,370.6,0,8,0.1,1.0,False,False,20,,64
s4_add_M1_core_real_N8400_m2_sh0_542f33cdef,4,add,M1,core,real,8400,2,0,1267911,,,,,,0.305952380952381,0.0,0.0,370.7,0,8,0.1,1.0,False,False,20,,64
s4_add_M1_core_shuffled_N8400_m0_sh0_ab1a0fc000,4,add,M1,core,shuffled,8400,0,0,1267911,,,,,,0.41285714285714287,0.023333333333333334,0.023333333333333334,809.0,0,8,0.1,1.0,False,False,42,,64
s4_add_M1_core_shuffled_N8400_m1_sh1_008c71a9b8,4,add,M1,core,shuffled,8400,1,1,1267911,,,,,,0.33011904761904765,0.0016666666666666668,0.0016666666666666668,376.8,0,8,0.1,1.0,False,False,20,,64
s4_add_M1_core_shuffled_N8400_m2_sh2_c895547a7b,4,add,M1,core,shuffled,8400,2,2,1267911,,,,,,0.31083333333333335,0.0,0.0,377.6,0,8,0.1,1.0,False,False,20,,64
